Number,Translator,Chinese Sentences,Gloss,Note,log_coverage
train-00008,A,一会就可以出去了。,一会儿/去/可以/。,,1.540364910919229
train-00019,A,一定可以做到。,一定1/做/到/可以/。,,1.6385874893424315
train-00023,A,找到行李请立即送到我停留的饭店。,行李/找/有/快/我/饭店/给/。,,1.5418875185754377
train-00032,A,一起去吃点东西好不好？,和/去/吃/好不好/？,,1.5597610834527906
train-00060,A,下次你想去哪儿？,下/次/你/想/去/哪里/？,,1.7831907199792683
train-00070,A,不了，改天吧。,不/那/时间/。,,1.6253048125991936
train-00086,A,不必担心我们可以解决的。,担心/不/我们/解决/可以/。,,1.6693639785577397
train-00088,A,不是一直这样的。,一直/这里/样子/不/。,,1.6128567372209628
train-00091,A,不是所有的事情都可以做。,都/事/这里/样子/做/可以/不是/。,,1.6934347234445823
train-00099,A,不知道说什么感谢你。,说/什么/感谢/你/不知道/。,,1.5251866498876694
train-00117,A,不要多此一举了。,用/没有/做/不/。,,1.7056964222665532
train-00133,A,不要让我等得太久。,让/我/等/一直/不/。,,1.726200681253009
train-00146,A,业余时间你都干什么？,业余/时间/你/做/什么/？,,1.7096348513511224
train-00171,A,中国是世界人口最多的国家。,中国/世界/人/最2/多/。,,1.5438439133385942
train-00182,A,为什么呆在家里？,在/家/为什么/？,,1.507281186823554
train-00195,A,给我一个这样的东西。,这里/样子/东西/给/我/。,,1.8161862584066781
train-00197,A,书一到我们就给你打电话。,书/到/我/电话/会/。,,1.7295334611062854
train-00227,A,人都到齐了吗？,人/都/到/？,,1.5127626490122825
train-00235,A,什么问题都可以？,都/问题/可以/？,,1.5422127259273886
train-00236,A,今天一起去玩怎么样？,今天/和/去/玩/怎么/？,,1.6203375363124204
train-00238,A,今天不冷也不热。,今天/天气/冷/不/热/不/。,,1.5111488105342212
train-00245,A,今天发生的有趣的事情。,今天/兴趣/事情/有/。,,1.5105495245401006
train-00246,A,今天天气真不错，你还好吗？,今天/天气/好/你/好/？,,1.9562765371459694
train-00249,A,今天妈妈会送你去学校。,今天/妈妈/护送/你/学校/去/会/。,,1.602237826114348
train-00256,A,今天我不用早睡。,今天/我/早/睡觉/不/。,,1.5193673833803913
train-00259,A,今天我心情不错。,今天/我/心情/可以/。,,1.6109130819524515
train-00260,A,今天我想再买一组沙发套。,今天/我/想/再/买/沙发/套/。,套,1.5708141758072471
train-00261,A,今天我有很多工作要做。,今天/我/工作1/多/。,,1.5206104177553137
train-00264,A,今天早餐吃什么？,今天/早上1/吃/什么/？,,1.6452856472083415
train-00265,A,今天明天没时间。,今天/明天/时间/没有/。,,1.613921449406034
train-00272,A,今天晚上想吃点什么？,今天/晚上/吃/什么/？,,1.692328189443209
train-00278,A,今天的早餐很好。,今天/早上1/吃/好/。,,1.6289429306957373
train-00283,A,今天的饭真好吃。,今天/吃/好/。,,1.6598911687896956
train-00299,A,今晚你有空吗？,今天/晚上/你/时间/有/？,,1.9888572215704663
train-00300,A,今晚我们一起看电影吧。,今天/晚上/我们/和/看/电影/。,,1.7014751439369091
train-00301,A,今晚我有个约会。,今天/晚上/我/约会/有/。,,1.623647889492789
train-00302,A,今晚没什么时间。,今天/晚上/时间/没有/。,,1.6333034520076453
train-00312,A,他不会让你失望的。,他/让/你/失望/不/。,,1.7262549612807874
train-00320,A,他今天是我们的向导吗？,他/我们/今天/向导/是/？,,1.601847600542353
train-00324,A,他们不需要对你的人生负责。,他/对/你/人生/负责/不/。,人生,1.5382434618248249
train-00337,A,他们是我的朋友。,他们/我/朋友/是/。,,1.8017164815805515
train-00342,A,他们说我条件太好了。,他们/说/我/条件/好/。,,1.551942245744412
train-00345,A,他使我想起了他的弟弟。,他/让/我/想/他/弟弟/有/。,,1.9317795386106502
train-00348,A,他偷了你什么？,他/偷/你/什么/？,,1.6166636398043785
train-00350,A,他说不行。,他/说/不行2/。,,1.5844111301875983
train-00357,A,他只是个孩子。,他/小孩/是/。,,1.5551154146543291
train-00370,A,他声称你的警官殴打了他。,他/说/你/警察/打/他/有/。,,1.6969982934893202
train-00373,A,他对这个问题考虑了好几天才做出决定。,他/对/这/问题/考虑/多少/天/最后/决定/。,,1.5335036253014798
train-00378,A,他建议你立刻离开这儿。,他/建议/你/现在/去/。,,1.8476518599826424
train-00382,A,他弟弟开车技术不是很好吗？,他/弟弟/开车/技术/好/是/？,,1.5573713543189918
train-00389,A,他总是嫌我在房间里吸烟。,他/经常/不愿意/我/在/房/吸烟/。,,1.6260626655102524
train-00399,A,他昨天不在这。,他/昨天/不/在/这/。,,1.822748342830045
train-00404,A,他是个好人。,他/好/人/是/。,,1.9187272944349012
train-00409,A,他是个混蛋。,他/人/坏/。,,1.5093502493331217
train-00411,A,他是怎么知道我们在哪的呢？,我/在/哪/他/知道/为什么/？,,1.9122611236537064
train-00412,A,他是我同学。,他/我/同学/是/。,,1.6267541621581891
train-00413,A,他是我爸爸，想起来了吗？,他/我/爸爸/是/记忆/？,,1.5825831078014232
train-00414,A,他是我同学。,他/我/同学/是/。,,1.6267541621581891
train-00435,A,他真的这么说了吗？,他/真/这/样子/说/？,,1.6630993775824152
train-00448,A,他讲的笑话逗得我们大笑不已。,他/说/笑/说/我们/喜欢/。,,1.8107236212567488
train-00449,A,他想使我相信他是清白的。,他/想/让/我/相信/他/真/。,,1.7623560813623287
train-00452,A,他跟你很像。,他/你/像/。,,1.7445308801523374
train-00455,A,他不在家吗？,他/家/不/在/？,,1.768882171938709
train-00465,A,以前有过这种情况。,以前/这/情况/有/。,,1.5748100044498017
train-00466,A,以后我想在院子里种上好看的。,以后/我/想/在/院子/种植/好/看/。,,1.656309130474043
train-00470,A,任何时候，你都可以依赖我。,都/时间/你/依靠/我/可以/。,,2.0188848265220996
train-00471,A,任何时间都有热水吗？,都/时间/热/水/有/？,,1.5100488022599923
train-00488,A,你不要纠缠我了。,你/围绕/我/不/。,,1.756082439671831
train-00491,B,但是如果我下次用它去买东西会优惠多少呢？,但是/如果/下/次/我/用/他/买/东西2/便宜/多少/？,,1.691882198942135
train-00492,B,但是我希望你可以做你想做的事。,但是/我/希望/你/想/做/事情/做/可以/。,,2.030886230848623
train-00498,B,你一周锻炼几次？,你/一周/锻炼2/多少/次/？,,1.5010470369847393
train-00502,B,你一点也没有变。,你/变化/没有2/。,,1.5623644083264057
train-00503,B,你一般几点吃早餐？,你/早上1/吃饭/时间/多少/？,,1.7781878433997091
train-00507,B,你不应该这么干的。,你/不/应该/这里/样子/做/。,,1.9791452366648878
train-00509,B,你不是这么说的。,你/以前/这里/样子/说/不是/。,,1.7430178962872198
train-00511,B,你不舒服吗？,你/不/舒服/是/？,,1.8712783462793865
train-00515,B,你不觉得你放的洗洁精太多了吗？,洗洁精/多/你/感觉/没有2/？,,1.509400998382674
train-00516,B,你不说我也会做的。,你/说/没有2/我/一样/会/做/。,,2.008359909626606
train-00517,B,你性格上最大的特点是什么？,你/自己/性质/最2/大/特点/是/什么/？,,1.5684628066387711
train-00518,B,你为什么不与我一起搭车？,你/不/和/我/搭车/为什么/？,,1.8003872956602172
train-00519,B,你为什么不吃？,你/不/吃/为什么/？,,1.8976162763041065
train-00520,B,你为什么不吃这些海鲜？,这里/海/新鲜/不/吃/为什么/？,,1.5878485035756038
train-00521,B,你为什么喜欢我？,你/喜欢/我/为什么/？,,2.160087217365778
train-00525,B,你为什么那么努力呢？,你/努力/为什么/？,,1.5934598062240017
train-00526,B,你为什么这么说呢？,你/说/这里/为什么/？,,1.921209192832118
train-00527,B,你为什么这样做？,你/做/这里/为什么/？,,1.9694867493677528
train-00529,B,你也别想好过。,你/生活/舒服/不行/。,,1.5259987093018363
train-00535,B,你什么时候回来的？,你/什么/时候/来/？,,1.8611306770899894
train-00536,B,你什么时候开始做作业？,你/什么/时候/开始/写字/作业/？,,1.6638142196347643
train-00538,B,你什么时候能做完作业？,你/作业/什么/时候/写字/了/可以/？,,1.755894878507302
train-00539,B,你今天会回来的晚吗？,你/今天/回家2/晚上/是/？,,1.6016208129185443
train-00541,B,你今天吃了什么？,你/今天/吃/什么/？,,1.9805100058562524
train-00542,B,你今天早上看起来精神很不好。,今天/早上1/我/看1/你/精神/坏/。,,1.6634988184830686
train-00543,B,你今天晚上有安排吗？,你/今天/晚上/安排/有/？,,1.7944686512760455
train-00544,B,你今天有点儿不大对劲。,你/今天/少/坏/。,,1.6761510859806492
train-00545,B,你今天都做了些什么呢？,你/今天/做/什么/？,,2.0335264955515293
train-00547,B,你介意我明天请假吗？,我/明天/请假/你/生气/会/？,,1.5684758553327531
train-00548,B,你从哪里学会说英语的呢？,说/英语/你/哪里/学习1/会/？,英语,1.6179126659188046
train-00549,B,你以为你是谁。,你/感觉/你/是/谁/。,,2.04286909013001
train-00550,B,你以前做过在这方面的工作吗？,这/关系/工作/你/以前/体会/有/？,,1.627388702644253
train-00551,B,你以前在哪里工作？,你/以前/在/哪里/工作/？,,1.7461735507528997
train-00553,B,你们不吃完，我们哪儿也不去。,你/吃/完了/没有2/我们/哪里/都/不/去/。,,1.9696166440920717
train-00558,B,你们今晚有空房吗？,你们/今天/晚上/空/房/有/？,,1.58510713045516
train-00560,B,你们去我就去。,你们/去/我/去/。,,1.9756440884520223
train-00569,B,你们不必上去了。,你们/上/去/不/。,,1.6005399701951764
train-00570,B,你们干嘛？,你们/做/什么/？,,1.6765214830312056
train-00571,B,你们怎么穿成这个样子？,你们/穿/这里/样子/为什么/？,,1.577065762657412
train-00580,B,你们有什么状况吗？,你们/情况/有/什么/？,,1.6202922230201473
train-00583,B,你们有没有像这样的东西？,像/这里/样子/东西2/你们/有/？,,1.6775279476373623
train-00594,B,你们还有别的颜色吗？,他/颜色/你们/有/？,,1.6596734885429398
train-00600,B,你们需要什么样的人？,你们/要/怎么样/人/？,,1.5692139543440138
train-00601,B,你会做到的。,你/做/到/可以/。,,2.028752059378669
train-00603,B,你会吗？,你/会/？,,1.700116621311845
train-00611,B,你快帮助啊。,你/快/帮助/。,,1.6578802199697056
train-00613,B,你喜欢午餐还是晚餐？,中午/吃饭/晚上/吃饭/你/喜欢/哪些1/？,,1.5815958671415613
train-00614,B,你做事一定要小心。,你/做/事情/要/小心/。,,1.5733800773000322
train-00616,B,你做得太多了。,你/做/多/。,,1.9219814005312532
train-00617,B,你做得很好。,你/做/好/。,,1.9826457144323912
train-00622,B,你再来一次。,你/再/做/1/次/。,,1.730955396484899
train-00623,B,你再说一遍。,你/再/说/1/。,,1.7305965804793892
train-00626,B,你几乎什么都没吃？,你/什么/全部/没有2/吃/？,,1.8502844320676062
train-00628,B,你为什么去？,你/去/为什么/？,,1.8697252474809023
train-00630,B,你别拿我开玩笑了。,你/不/拿/我/玩笑/。,,1.6963920345051988
train-00631,B,你别来找我了。,你/不/来/找/我/。,,2.065673772214066
train-00632,B,你别生气。,你/生气/不/。,,1.6362209378629013
train-00634,B,你在想什么呢？,你/想/什么/？,,2.0084501398969774
train-00635,B,你要干嘛？,你/做/什么/？,,2.003074110073146
train-00641,B,你去过那里吗？,那里/你/去/经过/？,,1.5732234266407747
train-00642,B,你参加什么课外活动吗？,课/外/活动/你/参加/什么/？,,1.5396903752604219
train-00648,B,你可不可以不要再啰嗦了？,你/啰嗦/不/可以/？,,1.6417169353682506
train-00650,B,你可以做我的伴娘吗？,你/做/我/伴娘/可以/？,,1.8958278950030418
train-00652,B,你可以和我一起吃晚饭吗？,我们/2/晚上/一起/吃饭/可以/？,,1.6525108248012839
train-00653,B,你可以在方便的时候做。,你/方便/时候/做/可以/。,,1.6382725005232028
train-00662,B,你可以送我去医院吗？,你/送/我/去/医院/可以/？,,1.8097766417847165
train-00665,B,你吃的太少了，请再多吃一点。,你/吃/少/请/再/多/吃/。,,1.765239454923756
train-00668,B,你和家人一起做的最有趣的事是什么？,你/和/家人/一起/做/最2/趣味/事情/是/什么/？,,1.692040078122843
train-00670,B,你哪里不对劲？,你/哪里/坏/？,,1.5688483418500057
train-00672,B,你唱得真好。,你/唱歌/好/。,,1.7287175581302001
train-00674,B,你喜欢什么种类的电影？,电影/种类/你/喜欢/什么/？,,1.79419067165773
train-00675,B,你喜欢什么运动？,运动/你/喜欢/什么/？,,1.9171184477562384
train-00678,B,你喜欢去哪里度假？,你/喜欢/去/哪里/度假/？,,1.6162778308666048
train-00679,B,你喜欢去海滩吗？,海滩/你/喜欢/去/？,,1.6069818307036108
train-00680,B,你喜欢参加什么活动？,你/喜欢/参加/什么/活动/？,,1.7803011373545996
train-00681,B,你喜欢参加聚餐活动吗？,一起/吃饭/活动/你/喜欢/参加/？,,1.6270750717654159
train-00682,B,你喜欢参加课外活动吗？,课/外/活动/你/喜欢/参加/？,,1.530156600032798
train-00683,B,你喜欢吃什么？,你/喜欢/吃/什么/？,,2.0434072015588725
train-00684,B,你喜欢吃甜食还是咸食？,甜/吃/咸/吃/你/喜欢/什么/？,,1.5308024731849468
train-00686,B,你喜欢听音乐吗？,唱歌/你/喜欢/听/？,,1.6896722656736682
train-00687,B,你喜欢和谁打呀？,你/喜欢/和/谁/打/？,,1.5251072355737954
train-00688,B,你喜欢品尝不同的美食吗？,品尝/不一样/吃/你/喜欢/？,,1.659871861029277
train-00689,B,你喜欢哪一个？,你/喜欢/哪些1/？,,1.6825687583963123
train-00690,B,你喜欢哪种户外活动？,房/外/活动/你/喜欢/哪里/？,,1.6225320759443747
train-00694,B,你喜欢学校的什么？,学校/里/你/喜欢/什么/？,,1.865686378726398
train-00696,B,你喜欢我推荐的这件商品吗？,我/推荐/这里/东西2/你/喜欢/？,,1.8554224010950502
train-00701,B,你喜欢游泳吗？,游泳/你/喜欢/？,,1.7067962616483263
train-00704,B,你喜欢看电影还是电视剧？,电影/你/喜欢/是/电视剧/你/喜欢/还是/？,电视剧,1.835730913703338
train-00705,B,你喜欢看表演吗？,表演/你/喜欢/看1/？,,1.6983654044298864
train-00711,B,你喜欢英语还是语文？,你/英语/喜欢/是/语文/喜欢/还是/？,英语,1.6484620360705526
train-00712,B,你喜欢读书吗？,读书/你/喜欢/？,,1.6912592849611152
train-00713,B,你喜欢购物吗？,买/东西2/你/喜欢/？,,1.8796700369959538
train-00714,B,你喜欢跟什么样的人来往？,你/喜欢/和/怎么样/人/交际/？,,1.5889067642046846
train-00716,B,你喜欢运动吗？,运动/你/喜欢/？,,1.7622584490524154
train-00717,B,你喜欢这款鸡尾酒吗？,这里/鸡尾酒/你/喜欢/？,,1.6217951368543233
train-00719,B,你喜欢阅读什么类型的书籍？,你/喜欢/什么/种类/书/？,,1.8482758535766475
train-00722,B,你在吃什么？,你/吃/什么/？,,1.9368034979540503
train-00723,B,你在哪所学校读书？,你/在/哪里/学校/读书/？,,1.604532804913113
train-00724,B,你在国外的这一年打算做什么？,你/在/国外/这里/一年/计划/做/什么/？,国外,1.5619128283077812
train-00725,B,你在开玩笑吗？,你/现在/玩笑/是/？,,1.5655939005717592
train-00726,B,你在开玩笑吧。,你/现在/玩笑/是/。,,1.5655939005717592
train-00727,B,你在担心什么？,你/担心/什么/？,,1.7234803682966682
train-00728,B,你在早晨会做什么事情？,你/早上1/做/什么/？,,1.903489283722498
train-00729,B,你在校园里最喜欢的地方是哪一个？,你/在/学校/里/最2/喜欢/位置2/什么/？,,1.7055926838927944
train-00731,B,你在跟我谈条件。,你/现在/和/我/谈判/条件/是/。,,1.6214978710806243
train-00732,B,你在这儿坐出租车比较好。,你/在/这里/打车/比较/好/。,,1.625715092911634
train-00733,B,你在这里干什么？,你/在/这里/做/什么/？,,2.1128340355097373
train-00734,B,你声音真好听。,你/声音/好/听/。,,1.6601517214248194
train-00736,B,你多久锻炼一次？,你/悠久/多少/锻炼2/1/次/？,,1.5324331429382423
train-00737,B,你多长时间去一次美容院？,美容/房/你/悠久/多少/去/1/次/？,,1.5152951561618777
train-00738,B,你多长时间锻炼1次？,你/悠久/多少/锻炼2/1/次/？,,1.5324331429382423
train-00741,B,你太棒了。,你/好/。,,1.8787055438559905
train-00743,B,你太让我失望了。,你/让/我/失望/。,,1.772791649961846
train-00744,B,你好。,你/好/。,,1.8787055438559905
train-00746,B,你好大胆子。,你/勇敢/大/。,,1.5420108764564264
train-00747,B,你妈妈是干什么的？,你/妈妈/做/什么/？,,1.9456599567854767
train-00751,B,你完成计划有困难吗？,计划/你/完成/困难1/有/？,,1.6416250215135735
train-00754,B,你家乡有什么美食？,你/家/美丽/吃/有/什么/？,,1.9065057742617653
train-00756,B,你家有几口人？,你/家/人/多少/？,,1.8952868148797897
train-00757,B,你家有宠物吗？,你/家/宠物/有/？,,1.5400833907055982
train-00759,B,你家里人怎么样？,你/家/里/人/怎么样/？,,1.6994322296341509
train-00761,B,你家里有多少间卧室？,你/家/里/卧室/有/多少/？,,1.627230433365215
train-00762,B,你对于品牌的看法是什么？,你/对待/东西2/牌子/看1/法1/是/什么/？,,1.5720247421190854
train-00763,B,你对于明天的计划安排是什么？,你/对待/明天/计划/安排/是/什么/？,,1.704022919790217
train-00764,B,你对于购物小票有何看法？,你/对待/买/东西2/票/看1/法1/有/什么/？,,1.7920996791151609
train-00765,B,你对什么感兴趣？,你/对待/什么/趣味/？,,1.599316763016764
train-00768,B,你对学校生活中最讨厌的事情是什么？,你/对待/学校/生活/最2/讨厌/事情/是/什么/？,,1.6204998875485412
train-00769,B,你对我的工作满意吗？,你/对待/我/工作/满意/？,,1.78345572198727
train-00771,B,你对这件事有什么看法？,你/对待/这里/事情/看1/法1/有/什么/？,,1.8440955760204716
train-00773,B,你小子是不是在做梦啊？,你/做/梦/是/？,,1.6016984753427104
train-00774,B,你小时候最想做的职业是什么？,你/小/时候/最2/想/做/职业/是/什么/？,,1.8113391108135162
train-00776,B,你就不用去了吧。,你/去/不/用/。,,1.954759431489259
train-00777,B,你就不用担心我了。,我/你/担心/不/。,,1.9913006914829672
train-00778,B,你就不能有点出息。,你/前景/好/少/可以/。,,1.6521002356128924
train-00779,B,你买少了。,你/买/少/。,,1.7244648373087883
train-00780,B,你就别维护他了。,他/你/维护1/不/。,,1.5820743472685013
train-00783,B,你能听出来。,你/听/可以/。,,1.8408716592067491
train-00785,B,你已经做完作业了吧。,作业/你/做/完了/是/。,,1.8709960534879098
train-00787,B,你希望自己的生活是怎么样？,你/希望/自己/生活/怎么样/？,,1.6322821136468255
train-00791,B,你干什么？,你/做/什么/？,,2.003074110073146
train-00792,B,你干得很好。,你/做/好/。,,1.9826457144323912
train-00793,B,你平常喜欢出去旅游吗？,你/平时/去/旅游/喜欢/？,,1.7667928286985957
train-00796,B,你平时会自己做饭吗？,你/平时/会/自己/烹饪/？,,1.5579720207687648
train-00797,B,你平时喜欢做些什么？,你/平时/喜欢/做/什么/？,,1.9477064064877787
train-00798,B,你平时喜欢去哪些地方放松？,你/平时/喜欢/去/哪里/休息/？,,1.7491728069539658
train-00799,B,你平时喜欢玩什么游戏？,你/平时/游戏/喜欢/什么/？,,1.7745074529780644
train-00801,B,你平时有看书的习惯吗？,读书/习惯/你/有/？,,1.6039637278526029
train-00804,B,你应该学会管理自己的时间。,你/应该/学习1/会/管理/自己/时间/。,,1.5422799114435612
train-00806,B,你应该努力工作。,你/应该/努力/工作/。,,1.6512644225128164
train-00810,B,你很快会收到我的消息的。,我/消息/你/快/会/接受/到/。,,1.6496915226321245
train-00812,B,你得去睡个美容觉了。,你/要/去/美容/睡觉/。,,1.5558424898115557
train-00813,B,你得抓紧时间。,你/要/时间/抓紧/。,,1.5670048809370922
train-00815,B,你必须为你的错误向他道歉。,你/要/为/你/错误/向/他/道歉/。,,1.5164616504778383
train-00819,B,你必须要好好学习。,你/必须/好/学习1/。,,1.6657927101690404
train-00820,B,你为什么不睡午觉？,中午/你/不/睡觉/为什么/？,,1.6367375733088192
train-00822,B,你为什么也在这？,你/一样/在/这/为什么/？,,1.9191806348369747
train-00827,B,你怎么找到我的？,你/怎么样/找/到/我/？,,1.9098907051030618
train-00828,B,你怎么有我电话？,我/电话/你/怎么/有/？,,2.0809155956755663
train-00829,B,你为什么来这么晚？,你/来/晚上/为什么/？,,1.7466150809455727
train-00831,B,你为什么没再帮他一把？,你/没有2/再/帮助/他/为什么/？,,1.8258058464475382
train-00832,B,你怎么看待这个？,你/对待/这/看1/法1/什么/？,,1.8134037484008043
train-00835,B,你怎么走得这么急？,你/走/着急/为什么/？,,1.5728925900038635
train-00836,B,你怎么过来找我了？,你/来/找/我/怎么/？,,2.0043443079983003
train-00838,B,你怎么看待网恋？,网/恋爱/你/看1/法1/是/什么/？,,1.550263457586054
train-00839,B,你总是什么都不让我做。,任何/你/都/不/让/我/做/。,,1.7910270537308568
train-00840,B,你总是对我那么好，我永远不会忘记的。,你/对待/我/一直/好/我/终身/不/会/忘记/。,,1.8484781067418403
train-00843,B,你想什么时候去打保龄球呀？,保龄球/你/想/什么/时候/去/玩1/？,保龄球,1.64837415645556
train-00844,B,你想什么时候取衣服？,你/想/什么/时候/拿/衣服/？,,1.83633291544449
train-00845,B,你想勾引我吗？,你/想/勾引/我/是/？,,1.8775874904860708
train-00846,B,你想去旅游的国家。,你/想/去/旅游/国家/。,,1.807474218390394
train-00848,B,你想学习什么语言呢？,你/想/学习1/什么/语言/？,,1.7296988055455031
train-00851,B,你想找什么？,你/想/找/什么/？,,1.9499607806445418
train-00855,B,你想看些什么？,你/想/看1/什么/？,,1.9666282218082984
train-00856,B,你想看什么电影？,你/想/看/什么/电影/？,,1.9304059365671102
train-00859,B,你想要什么汉堡？,你/想/要/什么/汉堡包/？,,1.7403400874832933
train-00861,B,你想要多少？,你/想/要/多少/？,,2.0103220236012933
train-00862,B,你想让我来开车吗？,你/想/让/我/驾驶/是/？,,1.816097567751235
train-00864,B,你想过要买属于我们的房子吗？,你/想/经过/买/属于3/我们/房子/？,,1.6519322364018083
train-00866,B,你感到幸福吗？,你/感觉/幸福/？,,1.5456431761449698
train-00869,B,你愿意和我们一起吃晚饭吗？,晚上/你/愿意/和/我/吃/？,,1.9036400894147696
train-00872,B,你愿意成为我的妻子吗？,做/我/妻子/你/愿意/？,,1.830518008527517
train-00873,B,你懂不懂啊。,你/知道/。,,1.6775100400928455
train-00883,B,你找到你喜欢的了吗？,你/喜欢/你/找/到/？,,2.0921150460857545
train-00895,B,你放开我。,你/松/我/。,,1.6042000546167525
train-00897,B,你敢耍我。,你/勇敢/玩1/我/。,,1.699196292902927
train-00902,B,你昨晚干嘛那么晚给我打电话？,你/昨天/晚上/（你）给（我）电话/做/什么/？,,1.5759161043913796
train-00903,B,你昨晚是不是暴饮暴食了？,你/昨天/晚上/吃饭/喝/多/是/？,,1.768647313643653
train-00904,B,你是不是也想走进一家咖啡馆，点上一杯呢？,你/一样/想/进/一/咖啡/房/买/1/瓶/是/？,,1.6060634978238297
train-00905,B,你是不是在拿我开玩笑呀？,你/拿/我/玩笑/是/？,,1.7245824343552574
train-00906,B,你是不是该上学了？,你/应该/上学/是/？,,1.509307012651639
train-00907,B,你是个学生。,你/学生/是/。,,1.698301849149896
train-00908,B,你是个胆小鬼。,你/勇敢/小/是/。,,1.6653620014543389
train-00909,B,你是什么人？,你/是/什么/人/？,,2.0982267682812177
train-00911,B,你是否喜欢在家工作？,在/家/工作/你/喜欢/？,,1.9550320849656133
train-00917,B,你是当事人。,你/D/事情/人/是/。,,1.5851463166003075
train-00918,B,你是我见到过的最美的女人。,你/是/我/见面/经过/女/里/最2/美丽/。,,1.6101977491119128
train-00919,B,你是我见过的最美的新娘。,你/是/我/见面/经过/新娘/里/最2/美丽/。,,1.6101977491119128
train-00920,B,你是新生吗？,你/新1/学生/是/？,,1.6449142321517143
train-00921,B,你是游戏新手吗？,你/游戏/第一次/是/？,,1.6166484015924205
train-00925,B,你是这个世界上独一无二的人。,你/这里/世界/唯一/人/是/。,,1.636264282960968
train-00926,B,你晚上都是怎么度过的？,你/晚上/怎么/生活/？,,1.7249679663498383
train-00928,B,你曾经做过的最勇敢的事情是什么？,你/之前/做/经过/最2/勇敢/事情/是/什么/？,,1.743095456840889
train-00929,B,你曾经做过让你非常骄傲的事情是什么？,你/之前/做/经过/让/你/骄傲1/很1/事情/是/什么/？,,1.756926851522113
train-00933,B,你最喜欢一个城市是什么？,你/最2/喜欢/城市/是/什么/？,,2.0071439796368815
train-00934,B,你最喜欢和父母一起做什么？,你/最2/喜欢/和/爸爸/妈妈/一起/做/什么/？,,1.9070937175222045
train-00935,B,你最喜欢哪个季节？,你/最2/喜欢/什么/季节/？,,1.689507039459011
train-00936,B,你最喜欢哪位小说家？,你/最2/喜欢/什么/小说/家/？,,1.7207896079475309
train-00937,B,你最喜欢哪门课？,你/最2/喜欢/什么/课/？,,1.8901937032349985
train-00938,B,你最喜欢的一本书是什么？,你/最2/喜欢/书/是/什么/？,,2.060810210202722
train-00939,B,你最喜欢的动物是什么？,你/最2/喜欢/动物/是/什么/？,,1.809970945106652
train-00940,B,你最喜欢的图画书是哪一本？,你/最2/喜欢/绘画/书/是/什么/？,,1.8032089339273818
train-00941,B,你最喜欢的季节是什么？,你/最2/喜欢/季节/是/什么/？,,1.809970945106652
